tweet_id,created_at,loc,text,user_id,verified
1245501490615246849,2020-04-02 00:01:10+00:00,MA,getting extremely stoned smoothie avoid responsibilities ease corona anxieties pervasive loneliness,u1039981,0
1245501491449942016,2020-04-02 00:01:10+00:00,GA,inevitable_et corona virus testing effort hampered kits contaminated with covid that acquired company that sent,u41828,0
1245501495878938625,2020-04-02 00:01:11+00:00,OR,beachbunnymusic maybe should harder should lower your expectations have corona never quaran,u657200,0
1245501495975477259,2020-04-02 00:01:11+00:00,LA,cbcoppo_t weed kills corona,u1250505,0
1245501496646656001,2020-04-02 00:01:11+00:00,NJ,yall check track called corona youtube click link below coronavirussouthafrica https nwwk l6s9l,u1250591,0
1245501501847543808,2020-04-02 00:01:12+00:00,OK,kemziii when start affected know corona serious,u214988,0
1245501504577994752,2020-04-02 00:01:13+00:00,PA,rebharms still turkish draft release prisoners because coronavirus excludes political prisoners that could many people,u1250592,0
1245501503760203784,2020-04-02 00:01:13+00:00,AL,atensnut wishes chris cuomo same thing chris would wish president should president corona virus,u320488,0
1245501509535752197,2020-04-02 00:01:14+00:00,NY,count your usual economic numbers forecasts guide through coronavirus slump https wh8hr3anyh,u1250593,0
1245501518347931648,2020-04-02 00:01:16+00:00,VT,espirrando igual desgra çado medo corona,u26578,0
1245501522751844354,2020-04-02 00:01:17+00:00,OR,stengel please stop televising these corona campaign rallies live they public health,u1250594,0
1245501526505926656,2020-04-02 00:01:18+00:00,WA,uluvvtiaaa tired hearing this corona virus depressing,u1250595,0
1245501528590430209,2020-04-02 00:01:19+00:00,WA,that chart what coronavirus data update april https w69pk4cx11,u26024,0
1245501532046573569,2020-04-02 00:01:20+00:00,TX,might finally able take five guys after this stimulus check thank corona,u793052,0
1245501540741181442,2020-04-02 00:01:22+00:00,CA,here again china puts county lockdown after corona cluster emerges zero hedge https vp9ptpy9ba,u8706,0
1245501544264609798,2020-04-02 00:01:23+00:00,TX,atensnut wishes chris cuomo same thing chris would wish president should president corona virus,u22236,0
1245501550799142912,2020-04-02 00:01:24+00:00,NH,hukumdan biji keleren wabah corona sudah jelas dari china ijinkan pulak mereka masuk yasonna kedatangan china,u126374,0
1245501555656118272,2020-04-02 00:01:25+00:00,AZ,jgovan once this corona stuff over yall still need wash your hands,u566783,0
1245501554599182341,2020-04-02 00:01:25+00:00,CA,coronavirus california herd https ep3qjgrvl1,u891744,0
1245501557552095232,2020-04-02 00:01:26+00:00,NY,corona bula şmış bebek sağlık çalışanından kendisini kuca ğına almasını istiyor dünyanın saniy https ojsqo,u1052065,0
