tweet_id,created_at,loc,text,user_id,verified
1235681413485207552,2020-03-05 21:39:41+00:00,MI,stayfrea alert corona virus spread through money have money home some gloves,u1,0
1235681419554213888,2020-03-05 21:39:42+00:00,UT,matrodamusic corona virus temporary house music forever,u2,0
1235681419558637568,2020-03-05 21:39:42+00:00,TX,gainbos whole entire world corona virus dangerous jamaicans https mhycodvej,u3,0
1235681424809705472,2020-03-05 21:39:44+00:00,MA,ellanjeferguson krystallsheree corona virus,u4,0
1235681424809680896,2020-03-05 21:39:44+00:00,NJ,bradleoy corona virus said https wwfteavdch,u5,0
1235681424860213255,2020-03-05 21:39:44+00:00,CT,thomaskaine strange trump republicans response coronavirus makes wonder they want spread throughout,u6,0
1235681425199788032,2020-03-05 21:39:44+00:00,CO,grooovybee meth mistook molly 2014 corona virus vaccine,u7,0
1235681425304797186,2020-03-05 21:39:44+00:00,IL,stayfrea alert corona virus spread through money have money home some gloves,u8,0
1235681435865890816,2020-03-05 21:39:46+00:00,MO,awesom_o just saying supply chain issues temporary bump sales from corona maybe they will find https vectx ovwp,u9,0
1235681446934630400,2020-03-05 21:39:49+00:00,NJ,nicolebyer talking tinder told traveling said with this corona virus then unmatched,u10,0
1235681454861848576,2020-03-05 21:39:51+00:00,OR,danielcornell between people refusing corona beer because coronavrius people trying titos vodka hand sani,u11,0
1235681460172058624,2020-03-05 21:39:52+00:00,MA,briseine cura corona virus maconha,u12,0
1235681469923758081,2020-03-05 21:39:54+00:00,LA,alert coronavirus also spread through course hero logins have course hero logins https qnhf b0rgj,u13,0
1235681466945859586,2020-03-05 21:39:54+00:00,GA,lostamerican creepy true fact more people have died america from being friends hillaryclinton than corona virus,u14,0
1235681470338879488,2020-03-05 21:39:55+00:00,CA,skcivil corona hair coronavirus https ogtqvg,u15,0
1235681471764910080,2020-03-05 21:39:55+00:00,SC,grooovybee meth mistook molly 2014 corona virus vaccine,u16,0
1235681477557354496,2020-03-05 21:39:56+00:00,VA,__stannnn corona virus problem https ld5dclkbhu,u17,0
1235681479981662214,2020-03-05 21:39:57+00:00,TX,grooovybee meth mistook molly 2014 corona virus vaccine,u18,0
1235681493646741505,2020-03-05 21:40:00+00:00,OK,holy shit fuck fucking corona virus they just canceled rlcs rocketleague excited finall https k48uyw882f,u19,0
1235681507173228544,2020-03-05 21:40:03+00:00,NJ,itsmanjobruh that lady refused take black jesus northcliff have corona virus,u20,0
1235681504447078400,2020-03-05 21:40:03+00:00,LA,thomaskaine strange trump republicans response coronavirus makes wonder they want spread throughout,u21,0
1235681508020678660,2020-03-05 21:40:04+00:00,DE,people worried theyre going virus from drinking corona have zero qualms about drinking https o4o4v6stxj,u22,0
1235681510713200640,2020-03-05 21:40:04+00:00,IL,cbmcnary need relax about this corona virus media loves making live fear,u23,0
1235681519538237457,2020-03-05 21:40:06+00:00,TX,gravis prayerharbor prayers country president trump reelected corona virus dwindles away,u24,0
1235681528518066176,2020-03-05 21:40:08+00:00,NV,theorigcatfood richardmarx pattonoswalt this corona virus problem faced with today https leejpmdnvr,u25,0
1235681526664368128,2020-03-05 21:40:08+00:00,NY,stayfrea alert corona virus spread through money have money home some gloves,u26,0
1235681526366564354,2020-03-05 21:40:08+00:00,FL,frankfigliuzzi said before trump national security threat trump floats coronavirus hunches hannity coro,u27,0
1235681525670309893,2020-03-05 21:40:08+00:00,NH,frankfigliuzzi said before trump national security threat trump floats coronavirus hunches hannity coro,u28,0
1235681530724286464,2020-03-05 21:40:09+00:00,NV,stayfrea alert corona virus spread through money have money home some gloves,u29,0
1235681536088764416,2020-03-05 21:40:10+00:00,CA,frankfigliuzzi said before trump national security threat trump floats coronavirus hunches hannity coro,u30,0
1235681535413694464,2020-03-05 21:40:10+00:00,CA,stayfrea alert corona virus spread through money have money home some gloves,u31,0
1235681546071351297,2020-03-05 21:40:13+00:00,TX,corona daps have been highlight https qigydodeip,u32,0
1235681561564999680,2020-03-05 21:40:16+00:00,WA,yibow dead corona everywhere,u33,0
1235681565683765249,2020-03-05 21:40:17+00:00,TX,this corona shit starting freak,u34,0
1235681567537848320,2020-03-05 21:40:18+00:00,TX,stayfrea alert corona virus spread through money have money home some gloves,u35,0
1235681568489959433,2020-03-05 21:40:18+00:00,FL,stayfrea alert corona virus spread through money have money home some gloves,u36,0
1235681573782970369,2020-03-05 21:40:19+00:00,WA,asalisbury steinekin more corona sorrows,u37,0
1235681574026440719,2020-03-05 21:40:19+00:00,FL,kevblundy confirm that boat party will ahead planned miami corona fears ultra tears boat party will perseve,u38,0
1235681578568667137,2020-03-05 21:40:20+00:00,WA,roflgandhi corona https,u39,0
1235681580426948609,2020-03-05 21:40:21+00:00,TX,przybocki corona responding well deadly virus conversion therapy,u40,0
1235681583949959168,2020-03-05 21:40:22+00:00,CA,corona virus affecting self storage association trade show learn more here https ag6uclqaeb https gl1dc58rss,u41,0
1235681591730597902,2020-03-05 21:40:23+00:00,NC,jaboukie corona wouldn that quarantine would give time catch shows stuff read writ,u42,0
1235681590140784640,2020-03-05 21:40:23+00:00,ID,adazzlinhaze more people from regular fucking every year than number people have died from corona virus,u43,0
1235681587985084417,2020-03-05 21:40:23+00:00,WA,atrupar this clip trump denies whos coronavirus death rate based hunch calls coronavirus corona suggests,u44,0
1235681587783766016,2020-03-05 21:40:23+00:00,MI,quit gaslighting corona virus networksmanager most reliable italy different screw,u45,0
1235681597858476049,2020-03-05 21:40:25+00:00,IL,wondrous_winnie alert corona virus spread through money have money home some gloves,u46,0
1235681602736451598,2020-03-05 21:40:26+00:00,NY,rather corona than catch feels another ever again that period,u47,0
1235681608256163842,2020-03-05 21:40:27+00:00,KS,stayfrea alert corona virus spread through money have money home some gloves,u48,0
1235681611296854016,2020-03-05 21:40:28+00:00,TX,stayfrea alert corona virus spread through money have money home some gloves,u49,0
1235681614136569881,2020-03-05 21:40:29+00:00,IL,stayfrea alert corona virus spread through money have money home some gloves,u50,0
1235681614501277696,2020-03-05 21:40:29+00:00,NV,stayfrea alert corona virus spread through money have money home some gloves,u51,0
1235681636655624192,2020-03-05 21:40:34+00:00,CA,davidagus regular updates from corona virus other health news please join community text 9322,u52,0
1235681637356036096,2020-03-05 21:40:34+00:00,CA,grooovybee meth mistook molly 2014 corona virus vaccine,u53,0
1235681638605934593,2020-03-05 21:40:35+00:00,FL,grooovybee meth mistook molly 2014 corona virus vaccine,u54,0
1235681646256492545,2020-03-05 21:40:36+00:00,IL,stayfrea alert corona virus spread through money have money home some gloves,u55,0
1235681651994198016,2020-03-05 21:40:38+00:00,MA,tapairportugal ive been trying refund flight want travel corona virus spreadi https vgcil,u56,0
1235681655668371457,2020-03-05 21:40:39+00:00,CA,stayfrea alert corona virus spread through money have money home some gloves,u57,0
1235681656041660416,2020-03-05 21:40:39+00:00,TX,stayfrea alert corona virus spread through money have money home some gloves,u58,0
1235681658998624256,2020-03-05 21:40:40+00:00,NM,grooovybee meth mistook molly 2014 corona virus vaccine,u59,0
1235681662551248897,2020-03-05 21:40:40+00:00,WA,theovon does anyone actually know someone with corona virus like real person animal else,u60,0
1235681677931732992,2020-03-05 21:40:44+00:00,NJ,wondrous_winnie alert corona virus spread through money have money home some gloves,u61,0
